season,field,raw_name,normalized_name,team_id,canonical_name,match_method,record_count
2022,origin,East Tennessee State,east tennessee state,,,not_in_fbs_population_or_unrecognized,3
2022,origin,Eastern Illinois,eastern illinois,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Eastern Kentucky,eastern kentucky,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Eastern Michigan,eastern michigan,2199,Eastern Michigan,exact_normalized_name,15
2022,origin,Eastern New Mexico,eastern new mexico,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Elon,elon,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Florida,florida,57,Florida,exact_normalized_name,18
2022,origin,Florida A&M,florida aandm,,,not_in_fbs_population_or_unrecognized,2
2022,origin,Florida Atlantic,florida atlantic,2226,Florida Atlantic,exact_normalized_name,12
2022,origin,Florida International,florida international,2229,Florida International,exact_normalized_name,17
2022,origin,Florida State,florida state,52,Florida State,exact_normalized_name,28
2022,origin,Fordham,fordham,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Fresno State,fresno state,278,Fresno State,exact_normalized_name,16
2022,origin,Furman,furman,,,not_in_fbs_population_or_unrecognized,3
